batch_size,learning_rate,optimizer,step_size,gamma,architecture_choice,val_loss
512,0.000529630328797997,Adam,7,0.7369954960012749,0,0.00020170214964215904
512,0.00046341602018929514,AdamW,4,0.7646044031061944,0,0.00019709097137848202
512,0.00044921985668807757,Adam,10,0.13640319123597733,1,0.00030207998760876063
1024,1.2539651971367965e-05,Adam,5,0.15679438851194655,0,0.027954059437854874
512,0.000105582836319425,AdamW,6,0.4370097834426664,4,0.001414601233159655
1024,1.1007886997566115e-05,Adam,5,0.8497532692522066,0,0.007082400495767461
512,1.0347624091384768e-05,Adam,8,0.5784595154344353,3,0.004364109224367903
1024,2.42443117549418e-05,AdamW,5,0.28804145987290974,0,0.01573787831781859
1024,0.00040967352201449526,AdamW,7,0.40809367082133663,2,0.001068742074271981
1024,0.00602233972837555,Adam,4,0.5711947613446146,3,0.0005857699044633242
512,0.0024897790057285185,AdamW,10,0.7450169857604867,1,9.073189153744376e-05
512,0.002965710629712668,AdamW,10,0.7415559599488095,1,8.062875632018378e-05
512,0.004219612119361586,AdamW,10,0.6815866179703414,1,8.052372822648649e-05
512,0.0018699515405208348,AdamW,9,0.6257957963554512,1,7.705115252444078e-05
512,0.0017519536843258975,AdamW,9,0.595784579040247,2,0.00016392791667222133
512,0.005564878454939945,AdamW,9,0.8942376618384014,1,0.00014536358644035295
512,0.0012333811615045504,AdamW,9,0.6746802062917278,2,0.00018814401389796783
512,0.00766114865831631,AdamW,8,0.45906461885317373,1,5.939998447290047e-05
512,0.009482196863484553,AdamW,8,0.31948508172511225,3,0.00014530783912895096
512,0.00011035670640177769,AdamW,8,0.4555875819095603,2,0.0007271809191020625
512,0.001143672864646501,AdamW,8,0.52804549448909,1,6.880054668304214e-05
512,0.0011517947567609146,AdamW,8,0.5001361754292974,1,8.782711906687074e-05
512,0.0010045140038370103,AdamW,9,0.527113962594991,1,0.00011576964089299955
512,0.00017463072937782696,AdamW,7,0.35708161659381876,1,0.0007385935175582432
512,0.009536226709294734,AdamW,8,0.6438517129033037,2,6.686948884780445e-05
512,0.008540061331603194,AdamW,6,0.23016744748048265,2,0.0002692451512646336
1024,0.0035182077056146142,AdamW,7,0.5173565132203144,2,0.00033685789781341734
512,0.0007657950070458359,AdamW,8,0.3925318585780748,3,0.00011286279241031348
512,0.006243396822416165,AdamW,6,0.6255176521639015,4,0.00018904754879509183
512,0.0020189663594911457,Adam,7,0.47516114449437874,0,6.694158270464558e-05
