batch_size,learning_rate,optimizer,step_size,gamma,architecture_choice,val_loss
1024,0.0027481042278540402,Adam,1,0.17649126792594708,4,0.003373931139779281
1024,0.0001779270709441557,Adam,6,0.15200603369249155,2,0.0015047829355873592
2048,0.00018736837530587534,SGD,4,0.4680188203047214,5,0.016416273670893416
1024,0.0066528668653753915,Adam,10,0.480845476469969,2,0.00032239492239872185
1024,1.0037423829526963e-05,Adam,8,0.5038914309795292,1,0.01359074627333153
512,0.0015216677043020073,AdamW,5,0.7848318534008301,0,0.00038189666681097824
2048,0.0011609290775334252,Adam,8,0.8150109062262403,3,0.0005201589001432338
1024,1.510185899285851e-05,Adam,4,0.7909428853877775,5,0.009389723079448006
2048,0.0008301904384690837,AdamW,10,0.8872225008036317,5,0.0019475740038148856
512,7.845742119869272e-05,AdamW,7,0.8200887782009414,3,0.00044648619390792624
1024,0.004240309318025031,SGD,10,0.4522475890929185,1,0.0006293961579398517
512,0.0075794039501803885,AdamW,4,0.6023786079572963,0,0.00014668940990959203
512,0.009394088581838461,AdamW,2,0.6036276360292405,0,0.00020849981407556305
512,0.00792017278651198,AdamW,1,0.6375430403871292,0,0.0003854872012412275
512,0.000565025876282128,AdamW,3,0.6327524408935161,0,0.0002887447703246054
512,0.008736149074435009,AdamW,2,0.6207025914384562,1,0.00016374689401116126
512,0.002296633446201878,AdamW,3,0.31686575172200476,1,0.0003035059049231696
512,3.838156901043168e-05,AdamW,3,0.7078349822417097,1,0.0029656897196730955
512,0.003809992879032614,SGD,5,0.34410843315113526,2,0.0007149358448806098
512,0.0003880900115270545,AdamW,2,0.7043015181237937,1,0.0005566166509772722
512,0.002189762070199218,AdamW,4,0.5596018664282569,0,0.00014755562786395682
512,0.004377483244222983,AdamW,4,0.5557339505672425,0,0.0001117339249019494
512,0.0020133382251136494,AdamW,4,0.5394213910132295,0,0.00012551887314912085
512,0.004375711331807085,AdamW,6,0.39126225398408343,0,0.0001603034041006449
512,0.0012870529376062798,AdamW,5,0.5431224623399055,0,0.00019107788818091025
2048,0.0044817334258556996,SGD,4,0.7252212054904407,1,0.0010041821797697418
512,0.0006204627125686731,AdamW,6,0.39464967769403336,0,0.00025497510223729654
512,0.0018962694906971415,AdamW,3,0.26761211826824843,2,0.00021357701901467954
512,0.0056693289278977686,AdamW,5,0.5677022222438722,4,0.00021757096586374583
2048,0.003120434587586627,SGD,1,0.4192709708505069,4,0.00427592104583623
512,0.0029072733602979986,AdamW,4,0.21754428696822076,0,0.00024120616018901268
